"post.mean","l-95% CI","u-95% CI","eff.samp","pMCMC","signif.","y_var","x_model","term","pMCMC_adjusted","pMCMC_adjusted_sig"
" 0.0007186","-0.0008428","0.002254","4700","0.32468","ns","rate_genes1_median","Host_or_free","(Intercept)",0.858615254237288,"ns"
" 0.0016826","-0.0002218","0.003651","4700","0.09319",".","rate_genes1_median","Host_or_free","Host_or_freeBoth",0.523204363636364,"ns"
"-0.0004534","-0.0094314","0.008589","4700","0.91277","ns","rate_genes1_median","Host_or_free","Host_or_freeFree",0.993977295373666,"ns"
"0.001247","-0.0001043","0.002536","4418","0.7089","ns","rate_genes1_median","Category_primary_env","(Intercept)",0.993977295373666,"ns"
"0.001127","-0.0010618","0.003283","4700","0.2983","ns","rate_genes1_median","Category_primary_env","Category_primary_envFree",0.837429357798165,"ns"
"0.000856","-0.001402","0.003111","4700","0.5574","ns","rate_genes1_median","Obligate_facultative","(Intercept)",0.966579661016949,"ns"
"0.001042","-0.001487","0.003525","4700","0.4060","ns","rate_genes1_median","Obligate_facultative","Obligate_facultativeFacultative",0.900921891891892,"ns"
" 0.003619"," 0.0005297","0.0067601","4700","0.1923","ns","rate_genes1_median","Intra_or_extracellular","(Intercept)",0.726466666666667,"ns"
"-0.002203","-0.0062291","0.0013670","3931","0.2519","ns","rate_genes1_median","Intra_or_extracellular","Intra_or_extracellularBoth",0.778633663366337,"ns"
"-0.002410","-0.0057355","0.0009965","4700","0.1757","ns","rate_genes1_median","Intra_or_extracellular","Intra_or_extracellularExtracellular",0.689284615384615,"ns"
" 0.0016143","-0.0001386","0.003355","4700","0.8996","ns","rate_genes1_median","Effect_on_host","(Intercept)",0.993977295373666,"ns"
" 0.0001115","-0.0021012","0.002272","4700","0.9243","ns","rate_genes1_median","Effect_on_host","Effect_on_hostBoth",0.997193661971831,"ns"
"-0.0005109","-0.0040522","0.003354","4700","0.7936","ns","rate_genes1_median","Effect_on_host","Effect_on_hostMutualist",0.993977295373666,"ns"
" 0.0008452","-0.0006496","0.002465","5081","0.4098","ns","rate_genes1_median","Motility","(Intercept)",0.900921891891892,"ns"
"-0.0001887","-0.0055894","0.004819","4700","0.9515","ns","rate_genes1_median","Motility","MotilityBoth",0.99753904109589,"ns"
" 0.0014539","-0.0005306","0.003509","4700","0.1617","ns","rate_genes1_median","Motility","MotilityMotile",0.659736,"ns"
" 0.0026432","-0.001061","0.0063760","4700","0.5515","ns","rate_genes1_median","combined","(Intercept)",0.966579661016949,"ns"
" 0.0009612","-0.002222","0.0040844","5006","0.5391","ns","rate_genes1_median","combined","Obligate_facultativeFacultative",0.966579661016949,"ns"
"-0.0020051","-0.006064","0.0019541","4700","0.3247","ns","rate_genes1_median","combined","Intra_or_extracellularBoth",0.858615254237288,"ns"
"-0.0026954","-0.006511","0.0008942","4700","0.1404","ns","rate_genes1_median","combined","Intra_or_extracellularExtracellular",0.62033,"ns"
"-0.0001766","-0.002662","0.0026451","5181","0.9017","ns","rate_genes1_median","combined","Effect_on_hostBoth",0.993977295373666,"ns"
"-0.0012003","-0.005286","0.0032550","4988","0.5715","ns","rate_genes1_median","combined","Effect_on_hostMutualist",0.982466292134831,"ns"
"-0.0004153","-0.006156","0.0052948","4296","0.8664","ns","rate_genes1_median","combined","MotilityBoth",0.993977295373666,"ns"
" 0.0012238","-0.001323","0.0036653","4700","0.3311","ns","rate_genes1_median","combined","MotilityMotile",0.858615254237288,"ns"
"0.001971"," 0.000143","0.003702","4700","0.8455","ns","rate_genes1_median","NE","(Intercept)",0.993977295373666,"ns"
"0.000381","-0.001010","0.001708","4700","0.5787","ns","rate_genes1_median","NE","Ne",0.984412087912088,"ns"
" 0.001597240"," 0.0004139","0.002811","4700","0.8677","ns","rate_genes1_median","Genome_size","(Intercept)",0.993977295373666,"ns"
"-0.000006456","-0.0010523","0.001047","4700","0.9911","ns","rate_genes1_median","Genome_size","genome_size",0.9983,"ns"
" 0.001594286"," 0.0004535","0.002793","4700","0.8613","ns","rate_genes1_median","Pan_size","(Intercept)",0.993977295373666,"ns"
"-0.000003655","-0.0009747","0.001056","4700","0.9906","ns","rate_genes1_median","Pan_size","pan_size",0.9983,"ns"
"0.0015975"," 0.0004237","0.002858","4465","0.8574","ns","rate_genes1_median","Pangenome_fluidity","(Intercept)",0.993977295373666,"ns"
"0.0001601","-0.0007858","0.001170","4700","0.7421","ns","rate_genes1_median","Pangenome_fluidity","pangenome_fluidity",0.993977295373666,"ns"
"0.001590"," 0.0004886","0.002723","5043","0.8617","ns","rate_genes1_median","Total_envs","(Intercept)",0.993977295373666,"ns"
"0.000728","-0.0003025","0.001704","4069","0.1489","ns","rate_genes1_median","Total_envs","Total_envs",0.624156164383562,"ns"
" 0.0005039","-0.0001024","0.0010683","5159","0.6004","ns","rate_genes1_lower_CI","Host_or_free","(Intercept)",0.993977295373666,"ns"
" 0.0001734","-0.0001440","0.0005294","5052","0.2979","ns","rate_genes1_lower_CI","Host_or_free","Host_or_freeBoth",0.837429357798165,"ns"
"-0.0001818","-0.0015179","0.0011639","4700","0.7821","ns","rate_genes1_lower_CI","Host_or_free","Host_or_freeFree",0.993977295373666,"ns"
" 0.0005867"," 0.00003164","0.0011597","4700","0.4043","ns","rate_genes1_lower_CI","Category_primary_env","(Intercept)",0.900921891891892,"ns"
"-0.0000353","-0.00033498","0.0002833","4700","0.8123","ns","rate_genes1_lower_CI","Category_primary_env","Category_primary_envFree",0.993977295373666,"ns"
"0.0005174","-0.0001339","0.0011948","4700","0.6349","ns","rate_genes1_lower_CI","Obligate_facultative","(Intercept)",0.993977295373666,"ns"
"0.0001099","-0.0003289","0.0005457","4700","0.6328","ns","rate_genes1_lower_CI","Obligate_facultative","Obligate_facultativeFacultative",0.993977295373666,"ns"
" 0.0010749"," 0.0002526","0.0019053","4700","0.0834",".","rate_genes1_lower_CI","Intra_or_extracellular","(Intercept)",0.493307307692308,"ns"
"-0.0006374","-0.0014836","0.0001739","4700","0.1294","ns","rate_genes1_lower_CI","Intra_or_extracellular","Intra_or_extracellularBoth",0.611582727272727,"ns"
"-0.0006957","-0.0015805","0.0001077","4700","0.1030","ns","rate_genes1_lower_CI","Intra_or_extracellular","Intra_or_extracellularExtracellular",0.547634482758621,"ns"
" 0.00059750","-0.0000005246","0.0011919","4968","0.4196","ns","rate_genes1_lower_CI","Effect_on_host","(Intercept)",0.900921891891892,"ns"
"-0.00004219","-0.0003737159","0.0002862","4700","0.7915","ns","rate_genes1_lower_CI","Effect_on_host","Effect_on_hostBoth",0.993977295373666,"ns"
"-0.00006983","-0.0007978508","0.0007362","4700","0.8557","ns","rate_genes1_lower_CI","Effect_on_host","Effect_on_hostMutualist",0.993977295373666,"ns"
" 0.00053493","-0.00006618","0.0011309","5008","0.5268","ns","rate_genes1_lower_CI","Motility","(Intercept)",0.966579661016949,"ns"
"-0.00003681","-0.00055771","0.0004392","4700","0.8911","ns","rate_genes1_lower_CI","Motility","MotilityBoth",0.993977295373666,"ns"
" 0.00008000","-0.00027135","0.0004093","4700","0.6426","ns","rate_genes1_lower_CI","Motility","MotilityMotile",0.993977295373666,"ns"
" 0.0010752473"," 0.00009347","0.0019816","4333","0.1294","ns","rate_genes1_lower_CI","combined","(Intercept)",0.611582727272727,"ns"
" 0.0001595345","-0.00038642","0.0007480","4700","0.5855","ns","rate_genes1_lower_CI","combined","Obligate_facultativeFacultative",0.984412087912088,"ns"
"-0.0007298709","-0.00162842","0.0002584","4476","0.1255","ns","rate_genes1_lower_CI","combined","Intra_or_extracellularBoth",0.611582727272727,"ns"
"-0.0007650429","-0.00163789","0.0001961","4461","0.1038","ns","rate_genes1_lower_CI","combined","Intra_or_extracellularExtracellular",0.547634482758621,"ns"
"-0.0000678425","-0.00042370","0.0003312","4452","0.7298","ns","rate_genes1_lower_CI","combined","Effect_on_hostBoth",0.993977295373666,"ns"
"-0.0002558255","-0.00110645","0.0005801","5048","0.5553","ns","rate_genes1_lower_CI","combined","Effect_on_hostMutualist",0.966579661016949,"ns"
"-0.0000428241","-0.00052613","0.0004862","4700","0.8557","ns","rate_genes1_lower_CI","combined","MotilityBoth",0.993977295373666,"ns"
" 0.0000004796","-0.00041857","0.0004419","4700","0.9949","ns","rate_genes1_lower_CI","combined","MotilityMotile",0.9983,"ns"
" 0.0006736830","-0.00003809","0.0014220","4947","0.4196","ns","rate_genes1_lower_CI","NE","(Intercept)",0.900921891891892,"ns"
"-0.0000002471","-0.00016259","0.0001737","4700","0.9983","ns","rate_genes1_lower_CI","NE","Ne",0.9983,"ns"
" 0.00057277"," 0.00003945","0.0011787","4700","0.4345","ns","rate_genes1_lower_CI","Genome_size","(Intercept)",0.900921891891892,"ns"
"-0.00002442","-0.00028177","0.0002611","4700","0.8643","ns","rate_genes1_lower_CI","Genome_size","genome_size",0.993977295373666,"ns"
" 0.000576078"," 0.000002694","0.0011558","4700","0.4315","ns","rate_genes1_lower_CI","Pan_size","(Intercept)",0.900921891891892,"ns"
"-0.000007167","-0.000154496","0.0001343","4774","0.9409","ns","rate_genes1_lower_CI","Pan_size","pan_size",0.99753904109589,"ns"
"0.000575709","-0.00001581","0.0011337","4700","0.4545","ns","rate_genes1_lower_CI","Pangenome_fluidity","(Intercept)",0.908129032258065,"ns"
"0.000009747","-0.00012908","0.0001547","4700","0.8868","ns","rate_genes1_lower_CI","Pangenome_fluidity","pangenome_fluidity",0.993977295373666,"ns"
"0.00057566","-0.00001108","0.0011241","4942","0.4289","ns","rate_genes1_lower_CI","Total_envs","(Intercept)",0.900921891891892,"ns"
"0.00002236","-0.00013753","0.0001943","4700","0.8047","ns","rate_genes1_lower_CI","Total_envs","Total_envs",0.993977295373666,"ns"
" 0.005168","-0.04531","0.05361","4700","0.7549","ns","rate_genes1_upper_CI","Host_or_free","(Intercept)",0.993977295373666,"ns"
" 0.003788","-0.01940","0.02606","4700","0.7523","ns","rate_genes1_upper_CI","Host_or_free","Host_or_freeBoth",0.993977295373666,"ns"
"-0.001345","-0.10496","0.11420","4700","0.9885","ns","rate_genes1_upper_CI","Host_or_free","Host_or_freeFree",0.9983,"ns"
" 0.007427","-0.04310","0.05458","4700","0.8200","ns","rate_genes1_upper_CI","Category_primary_env","(Intercept)",0.993977295373666,"ns"
"-0.002290","-0.02636","0.01893","4898","0.8549","ns","rate_genes1_upper_CI","Category_primary_env","Category_primary_envFree",0.993977295373666,"ns"
" 0.0074154","-0.04644","0.06494","6162","0.8162","ns","rate_genes1_upper_CI","Obligate_facultative","(Intercept)",0.993977295373666,"ns"
"-0.0005333","-0.03352","0.03274","5279","0.9677","ns","rate_genes1_upper_CI","Obligate_facultative","Obligate_facultativeFacultative",0.9983,"ns"
" 0.009117","-0.06137","0.08170","4700","0.9094","ns","rate_genes1_upper_CI","Intra_or_extracellular","(Intercept)",0.993977295373666,"ns"
"-0.002836","-0.07759","0.07023","4700","0.9438","ns","rate_genes1_upper_CI","Intra_or_extracellular","Intra_or_extracellularBoth",0.99753904109589,"ns"
"-0.002998","-0.07779","0.06812","4700","0.9255","ns","rate_genes1_upper_CI","Intra_or_extracellular","Intra_or_extracellularExtracellular",0.997193661971831,"ns"
" 0.004526","-0.0409761","0.05616","4700","0.72298","ns","rate_genes1_upper_CI","Effect_on_host","(Intercept)",0.993977295373666,"ns"
"-0.001314","-0.0257417","0.02197","4692","0.91191","ns","rate_genes1_upper_CI","Effect_on_host","Effect_on_hostBoth",0.993977295373666,"ns"
" 0.062406"," 0.0004231","0.12017","4700","0.04468","*","rate_genes1_upper_CI","Effect_on_host","Effect_on_hostMutualist",0.400624615384615,"ns"
" 0.0096753","-0.04115","0.05808","4700","0.9013","ns","rate_genes1_upper_CI","Motility","(Intercept)",0.993977295373666,"ns"
"-0.0008509","-0.03438","0.03279","4700","0.9566","ns","rate_genes1_upper_CI","Motility","MotilityBoth",0.9983,"ns"
"-0.0072716","-0.03100","0.01745","4700","0.5591","ns","rate_genes1_upper_CI","Motility","MotilityMotile",0.966579661016949,"ns"
"-0.004644","-0.08582398","0.07257","5860","0.64851","ns","rate_genes1_upper_CI","combined","(Intercept)",0.993977295373666,"ns"
" 0.006806","-0.03323010","0.04780","4700","0.73234","ns","rate_genes1_upper_CI","combined","Obligate_facultativeFacultative",0.993977295373666,"ns"
" 0.013912","-0.06235188","0.09417","4700","0.71447","ns","rate_genes1_upper_CI","combined","Intra_or_extracellularBoth",0.993977295373666,"ns"
" 0.009362","-0.06451923","0.08877","4700","0.79660","ns","rate_genes1_upper_CI","combined","Intra_or_extracellularExtracellular",0.993977295373666,"ns"
" 0.001784","-0.02830830","0.02844","4700","0.90213","ns","rate_genes1_upper_CI","combined","Effect_on_hostBoth",0.993977295373666,"ns"
" 0.068609"," 0.00001671","0.13640","4700","0.04809","*","rate_genes1_upper_CI","combined","Effect_on_hostMutualist",0.400624615384615,"ns"
"-0.001623","-0.03744517","0.03326","4435","0.93660","ns","rate_genes1_upper_CI","combined","MotilityBoth",0.99753904109589,"ns"
"-0.011669","-0.04251766","0.01800","4700","0.44809","ns","rate_genes1_upper_CI","combined","MotilityMotile",0.908049933774834,"ns"
" 0.005656","-0.05662","0.067920","4700","0.7494","ns","rate_genes1_upper_CI","NE","(Intercept)",0.993977295373666,"ns"
"-0.004444","-0.01664","0.008371","4700","0.4783","ns","rate_genes1_upper_CI","NE","Ne",0.926327848101266,"ns"
" 0.006350","-0.04317","0.05487","4700","0.7902","ns","rate_genes1_upper_CI","Genome_size","(Intercept)",0.993977295373666,"ns"
"-0.006849","-0.02907","0.01426","4700","0.5200","ns","rate_genes1_upper_CI","Genome_size","genome_size",0.966579661016949,"ns"
" 0.006422","-0.04254","0.056054","4700","0.7983","ns","rate_genes1_upper_CI","Pan_size","(Intercept)",0.993977295373666,"ns"
"-0.001058","-0.01142","0.008797","4700","0.8366","ns","rate_genes1_upper_CI","Pan_size","pan_size",0.993977295373666,"ns"
"0.007540","-0.039746","0.05940","4700","0.8200","ns","rate_genes1_upper_CI","Pangenome_fluidity","(Intercept)",0.993977295373666,"ns"
"0.001803","-0.008964","0.01213","4700","0.7349","ns","rate_genes1_upper_CI","Pangenome_fluidity","pangenome_fluidity",0.993977295373666,"ns"
" 0.006399","-0.04289","0.055552","4700","0.7868","ns","rate_genes1_upper_CI","Total_envs","(Intercept)",0.993977295373666,"ns"
"-0.003027","-0.01481","0.009609","4700","0.6315","ns","rate_genes1_upper_CI","Total_envs","Total_envs",0.993977295373666,"ns"
" 0.00009207"," 0.00006025","0.00012330","5096","0.4264","ns","core_mu_median","Host_or_free","(Intercept)",0.900921891891892,"ns"
" 0.00002242","-0.00001317","0.00006133","4263","0.2289","ns","core_mu_median","Host_or_free","Host_or_freeBoth",0.735165,"ns"
"-0.00008951","-0.00025328","0.00006872","4981","0.2689","ns","core_mu_median","Host_or_free","Host_or_freeFree",0.798867961165048,"ns"
" 0.00010973"," 0.00008074","0.00013606","4961","0.6579","ns","core_mu_median","Category_primary_env","(Intercept)",0.993977295373666,"ns"
"-0.00002582","-0.00006435","0.00001382","4700","0.1911","ns","core_mu_median","Category_primary_env","Category_primary_envFree",0.726466666666667,"ns"
"0.00008412"," 0.00004005","0.00012626","4700","0.3553","ns","core_mu_median","Obligate_facultative","(Intercept)",0.883917073170732,"ns"
"0.00002326","-0.00002306","0.00007016","4700","0.3247","ns","core_mu_median","Obligate_facultative","Obligate_facultativeFacultative",0.858615254237288,"ns"
" 0.00014824"," 0.00009058"," 0.000204691","5108","0.14468","ns","core_mu_median","Intra_or_extracellular","(Intercept)",0.62033,"ns"
