"post.mean","l-95% CI","u-95% CI","eff.samp","pMCMC","signif.","y_var","x_model","term","pMCMC_adjusted","pMCMC_adjusted_sig"
"4443"," 2540"," 6419","4700","0.0153191","*","pan_size","Host_or_free","(Intercept)",0.0544679111111111,"."
"4435"," 2369"," 6643","4700","0.0002128","***","pan_size","Host_or_free","Host_or_freeBoth",0.0017024,"**"
"1868","-6168","10603","4700","0.6531915","ns","pan_size","Host_or_free","Host_or_freeFree",0.817550769230769,"ns"
"5618","3380.9","7869","4700","0.19617","ns","pan_size","Category_primary_env","(Intercept)",0.348746666666667,"ns"
"2745"," 324.4","4910","4891","0.02213","*","pan_size","Category_primary_env","Category_primary_envFree",0.0668509090909091,"."
"3234"," 504.3","6096","4700","0.0076596","**","pan_size","Obligate_facultative","(Intercept)",0.0306384,"*"
"4775","1982.1","7576","4700","0.0008511","***","pan_size","Obligate_facultative","Obligate_facultativeFacultative",0.0045392,"**"
" 7252.5"," 3253","11044","4700","0.9255","ns","pan_size","Intra_or_extracellular","(Intercept)",0.955354838709677,"ns"
"-2468.1","-6607"," 2060","4700","0.2681","ns","pan_size","Intra_or_extracellular","Intra_or_extracellularBoth",0.408533333333333,"ns"
" -413.5","-4818"," 3775","4700","0.8481","ns","pan_size","Intra_or_extracellular","Intra_or_extracellularExtracellular",0.935834482758621,"ns"
"4985","2456.7","7376","4700","0.08596",".","pan_size","Effect_on_host","(Intercept)",0.17958,"ns"
"2652"," 374.1","4866","4700","0.02298","*","pan_size","Effect_on_host","Effect_on_hostBoth",0.0668509090909091,"."
"5007"," 694.1","9417","4700","0.02553","*","pan_size","Effect_on_host","Effect_on_hostMutualist",0.06808,"."
"4526.1"," 2243","6908","4700","0.037872","*","pan_size","Motility","(Intercept)",0.0932233846153846,"."
" 654.9","-3728","5460","4700","0.771489","ns","pan_size","Motility","MotilityBoth",0.881701714285714,"ns"
"3954.6"," 1617","6125","4700","0.002128","**","pan_size","Motility","MotilityMotile",0.009728,"**"
" 3423.3"," -439.7","7500","4700","0.07191",".","pan_size","combined","(Intercept)",0.164365714285714,"ns"
" 2694.4"," -324.7","6140","4700","0.10638","ns","pan_size","combined","Obligate_facultativeFacultative",0.200244705882353,"ns"
"-1251.2","-5471.1","3013","4700","0.57574","ns","pan_size","combined","Intra_or_extracellularBoth",0.801029565217391,"ns"
" -777.7","-4760.5","3197","4700","0.69574","ns","pan_size","combined","Intra_or_extracellularExtracellular",0.824580740740741,"ns"
" 1471.6","-1039.4","3814","4700","0.23149","ns","pan_size","combined","Effect_on_hostBoth",0.370384,"ns"
" 2722.7","-1821.6","7265","4436","0.23021","ns","pan_size","combined","Effect_on_hostMutualist",0.370384,"ns"
" 1054.5","-3905.2","5713","4700","0.66426","ns","pan_size","combined","MotilityBoth",0.817550769230769,"ns"
" 2327.1"," -266.9","5097","4700","0.08979",".","pan_size","combined","MotilityMotile",0.17958,"ns"
"7441","4571","10598","4531","0.9770213","ns","pan_size","NE","(Intercept)",0.9770213,"ns"
"2284","1244"," 3306","4212","0.0002128","***","pan_size","NE","Ne",0.0017024,"**"
"6604","5450","7780","4058","0.4297872","ns","pan_size","Genome_size","(Intercept)",0.625145018181818,"ns"
"3716","2895","4604","4700","0.0002128","***","pan_size","Genome_size","genome_size",0.0017024,"**"
"6938","5049","8904","4700","0.9029787","ns","pan_size","Pangenome_fluidity","(Intercept)",0.955354838709677,"ns"
"2233","1285","3112","4700","0.0002128","***","pan_size","Pangenome_fluidity","pangenome_fluidity",0.0017024,"**"
"6580","4446.7","8665","4880","0.6455319","ns","pan_size","Total_envs","(Intercept)",0.817550769230769,"ns"
"1854"," 775.4","2988","4453","0.0004255","***","pan_size","Total_envs","Total_envs",0.0027232,"**"
