"y_var","x_model","metric","value"
"rate_genes1_median","Generalism_score","Fixed effect",0.0007925
"rate_genes1_median","Generalism_score","Random effect",0.1932855
"rate_genes1_median","Generalism_score","Total model",0.194078
"rate_genes1_median","Generalism_score","tip",2.55403842330132e-05
"rate_genes1_median","Generalism_score","units",0.000106493029696385
"rate_genes1_median","Pangenome_openness","Fixed effect",0.009412
"rate_genes1_median","Pangenome_openness","Random effect",0.181439
"rate_genes1_median","Pangenome_openness","Total model",0.190851
"rate_genes1_median","Pangenome_openness","tip",2.42245017652015e-05
"rate_genes1_median","Pangenome_openness","units",0.00010803196877074
"rate_genes1_median","Habitat_count","Fixed effect",0.01394
"rate_genes1_median","Habitat_count","Random effect",0.2088
"rate_genes1_median","Habitat_count","Total model",0.22274
"rate_genes1_median","Habitat_count","tip",2.78669626207013e-05
"rate_genes1_median","Habitat_count","units",0.000103735571469113
"rate_genes1_median","Intra_species_nucleotide_diversity","Fixed effect",0.008429
"rate_genes1_median","Intra_species_nucleotide_diversity","Random effect",0.164439
"rate_genes1_median","Intra_species_nucleotide_diversity","Total model",0.172868
"rate_genes1_median","Intra_species_nucleotide_diversity","tip",2.53034371302914e-05
"rate_genes1_median","Intra_species_nucleotide_diversity","units",0.000127276673452246
"rate_genes1_lower_CI","Generalism_score","Fixed effect",1.804e-05
"rate_genes1_lower_CI","Generalism_score","Random effect",0.998
"rate_genes1_lower_CI","Generalism_score","Total model",0.998
"rate_genes1_lower_CI","Generalism_score","tip",2.43439043495167e-06
"rate_genes1_lower_CI","Generalism_score","units",4.86183476996888e-09
"rate_genes1_lower_CI","Pangenome_openness","Fixed effect",8.304e-06
"rate_genes1_lower_CI","Pangenome_openness","Random effect",0.9979
"rate_genes1_lower_CI","Pangenome_openness","Total model",0.9979
"rate_genes1_lower_CI","Pangenome_openness","tip",2.46028078554076e-06
"rate_genes1_lower_CI","Pangenome_openness","units",5.11276328738361e-09
"rate_genes1_lower_CI","Habitat_count","Fixed effect",2.24e-05
"rate_genes1_lower_CI","Habitat_count","Random effect",0.9979393
"rate_genes1_lower_CI","Habitat_count","Total model",0.9979617
"rate_genes1_lower_CI","Habitat_count","tip",2.43921990937379e-06
"rate_genes1_lower_CI","Habitat_count","units",4.98210660035168e-09
"rate_genes1_lower_CI","Intra_species_nucleotide_diversity","Fixed effect",0.000275
"rate_genes1_lower_CI","Intra_species_nucleotide_diversity","Random effect",0.997402
"rate_genes1_lower_CI","Intra_species_nucleotide_diversity","Total model",0.997677
"rate_genes1_lower_CI","Intra_species_nucleotide_diversity","tip",2.82159613251625e-06
"rate_genes1_lower_CI","Intra_species_nucleotide_diversity","units",6.57262691230867e-09
"rate_genes1_upper_CI","Generalism_score","Fixed effect",6.675e-05
"rate_genes1_upper_CI","Generalism_score","Random effect",0.05436
"rate_genes1_upper_CI","Generalism_score","Total model",0.05442
"rate_genes1_upper_CI","Generalism_score","tip",0.00120010172386296
"rate_genes1_upper_CI","Generalism_score","units",0.0208761486643321
"rate_genes1_upper_CI","Pangenome_openness","Fixed effect",0.008458
