"post.mean","l-95% CI","u-95% CI","eff.samp","pMCMC","signif.","y_var","x_model","term","pMCMC_adjusted","pMCMC_adjusted_sig"
"0.0031085","-0.0004024","0.007104","4700","0.8051","ns","rate_genes1_median","Generalism_score","(Intercept)",0.9851,"ns"
"0.0003236","-0.0020896","0.002787","4508","0.8017","ns","rate_genes1_median","Generalism_score","generalism_score",0.9851,"ns"
" 0.003008","-0.0005137","0.006786","4700","0.8447","ns","rate_genes1_median","Pangenome_openness","(Intercept)",0.9851,"ns"
"-0.001121","-0.0035109","0.001411","4700","0.3719","ns","rate_genes1_median","Pangenome_openness","pangenome_openness",0.9851,"ns"
" 0.002982","-0.0007819","0.006949","4700","0.8502","ns","rate_genes1_median","Habitat_count","(Intercept)",0.9851,"ns"
"-0.001364","-0.0040918","0.001050","4974","0.3009","ns","rate_genes1_median","Habitat_count","habitat_count",0.9851,"ns"
" 0.003396","-0.0005349","0.007582","4700","0.8243","ns","rate_genes1_median","Intra_species_nucleotide_diversity","(Intercept)",0.9851,"ns"
"-0.001139","-0.0040524","0.001703","4327","0.4340","ns","rate_genes1_median","Intra_species_nucleotide_diversity","intra_species_nucleotide_diversity",0.9851,"ns"
" 0.000586907","-0.0001971","0.0014073","4700","0.6800","ns","rate_genes1_lower_CI","Generalism_score","(Intercept)",0.9851,"ns"
"-0.000006634","-0.0001252","0.0001096","4700","0.9136","ns","rate_genes1_lower_CI","Generalism_score","generalism_score",0.9851,"ns"
" 0.000591283","-0.0002043","0.0014268","5301","0.6817","ns","rate_genes1_lower_CI","Pangenome_openness","(Intercept)",0.9851,"ns"
"-0.000004525","-0.0001351","0.0001337","4760","0.9489","ns","rate_genes1_lower_CI","Pangenome_openness","pangenome_openness",0.9851,"ns"
" 0.0005791","-0.0001914","0.0014027","4700","0.7060","ns","rate_genes1_lower_CI","Habitat_count","(Intercept)",0.9851,"ns"
"-0.0000074","-0.0001334","0.0001301","4814","0.9213","ns","rate_genes1_lower_CI","Habitat_count","habitat_count",0.9851,"ns"
" 0.00061136","-0.0002871","0.001485","4905","0.6936","ns","rate_genes1_lower_CI","Intra_species_nucleotide_diversity","(Intercept)",0.9851,"ns"
"-0.00002789","-0.0002199","0.000183","4700","0.7898","ns","rate_genes1_lower_CI","Intra_species_nucleotide_diversity","intra_species_nucleotide_diversity",0.9851,"ns"
" 0.032367","-0.004326","0.07187","4700","0.9570","ns","rate_genes1_upper_CI","Generalism_score","(Intercept)",0.9851,"ns"
"-0.001214","-0.035459","0.02954","6407","0.9413","ns","rate_genes1_upper_CI","Generalism_score","generalism_score",0.9851,"ns"
" 0.03217","-0.004957","0.07098","4700","0.9851","ns","rate_genes1_upper_CI","Pangenome_openness","(Intercept)",0.9851,"ns"
"-0.01376","-0.043807","0.01969","4700","0.3970","ns","rate_genes1_upper_CI","Pangenome_openness","pangenome_openness",0.9851,"ns"
" 0.03200","-0.008393","0.06766","4700","0.9664","ns","rate_genes1_upper_CI","Habitat_count","(Intercept)",0.9851,"ns"
