"y_var","x_model","metric","value"
"core_mu_lower_CI","Avg_gene_freq","Fixed effect",0.15245
"core_mu_lower_CI","Avg_gene_freq","Random effect",0.09834
"core_mu_lower_CI","Avg_gene_freq","tip",1.52147080445368e-10
"core_mu_lower_CI","Avg_gene_freq","Total model",0.25079
"core_mu_lower_CI","Avg_gene_freq","units",1.15918796101609e-09
"core_mu_lower_CI","Core_genes","Fixed effect",0.005692
"core_mu_lower_CI","Core_genes","Random effect",0.118213
"core_mu_lower_CI","Core_genes","tip",1.83704155825647e-10
"core_mu_lower_CI","Core_genes","Total model",0.123905
"core_mu_lower_CI","Core_genes","units",1.3614540386371e-09
"core_mu_lower_CI","Intermediate_genes","Fixed effect",0.1349
"core_mu_lower_CI","Intermediate_genes","Random effect",0.1409
"core_mu_lower_CI","Intermediate_genes","tip",2.2859084165053e-10
"core_mu_lower_CI","Intermediate_genes","Total model",0.2758
"core_mu_lower_CI","Intermediate_genes","units",1.17468516488545e-09
"core_mu_lower_CI","Pangenome_size","Fixed effect",0.08655
"core_mu_lower_CI","Pangenome_size","Random effect",0.16205
"core_mu_lower_CI","Pangenome_size","tip",2.66532612317719e-10
"core_mu_lower_CI","Pangenome_size","Total model",0.2486
"core_mu_lower_CI","Pangenome_size","units",1.23587900192792e-09
"core_mu_lower_CI","Rare_genes","Fixed effect",0.06604
"core_mu_lower_CI","Rare_genes","Random effect",0.14189
"core_mu_lower_CI","Rare_genes","tip",2.25788793636325e-10
"core_mu_lower_CI","Rare_genes","Total model",0.20794
"core_mu_lower_CI","Rare_genes","units",1.26038886709349e-09
"core_mu_median","Avg_gene_freq","Fixed effect",0.21446
"core_mu_median","Avg_gene_freq","Random effect",0.05771
"core_mu_median","Avg_gene_freq","tip",3.81328624935328e-10
"core_mu_median","Avg_gene_freq","Total model",0.27217
"core_mu_median","Avg_gene_freq","units",4.80944900775544e-09
"core_mu_median","Core_genes","Fixed effect",0.002321
"core_mu_median","Core_genes","Random effect",0.111026
"core_mu_median","Core_genes","tip",7.46210027576256e-10
"core_mu_median","Core_genes","Total model",0.113347
"core_mu_median","Core_genes","units",5.95922947937058e-09
"core_mu_median","Intermediate_genes","Fixed effect",0.1836
"core_mu_median","Intermediate_genes","Random effect",0.1113
"core_mu_median","Intermediate_genes","tip",7.76930426009906e-10
"core_mu_median","Intermediate_genes","Total model",0.2948
"core_mu_median","Intermediate_genes","units",4.9232686364952e-09
"core_mu_median","Pangenome_size","Fixed effect",0.1435
"core_mu_median","Pangenome_size","Random effect",0.1416
"core_mu_median","Pangenome_size","tip",1.01604031180507e-09
"core_mu_median","Pangenome_size","Total model",0.2851
"core_mu_median","Pangenome_size","units",5.13060932817873e-09
"core_mu_median","Rare_genes","Fixed effect",0.1209
"core_mu_median","Rare_genes","Random effect",0.1145
"core_mu_median","Rare_genes","tip",7.84752230399493e-10
"core_mu_median","Rare_genes","Total model",0.2354
"core_mu_median","Rare_genes","units",5.2427246562094e-09
"core_mu_upper_CI","Avg_gene_freq","Fixed effect",0.19922
"core_mu_upper_CI","Avg_gene_freq","Random effect",0.03574
"core_mu_upper_CI","Avg_gene_freq","tip",1.65378819279714e-09
"core_mu_upper_CI","Avg_gene_freq","Total model",0.23496
"core_mu_upper_CI","Avg_gene_freq","units",3.54043757088949e-08
"core_mu_upper_CI","Core_genes","Fixed effect",0.005671
"core_mu_upper_CI","Core_genes","Random effect",0.097781
"core_mu_upper_CI","Core_genes","tip",4.64213795244032e-09
