"post.mean","l-95% CI","u-95% CI","eff.samp","pMCMC","signif.","y_var","x_model","term","pMCMC_adjusted","pMCMC_adjusted_sig"
" 0.0014905"," 0.0006797","0.0023764","4700","0.7626","ns","rate_genes1_median","Pangenome_size","(Intercept)",0.969889655172414,"ns"
"-0.0002826","-0.0009088","0.0003309","4700","0.3732","ns","rate_genes1_median","Pangenome_size","pan_genes",0.704676923076923,"ns"
"0.0015056"," 0.0006386","0.002387","4506","0.7421","ns","rate_genes1_median","Core_genes","(Intercept)",0.969889655172414,"ns"
"0.0004585","-0.0002214","0.001132","4700","0.1800","ns","rate_genes1_median","Core_genes","core_genes",0.48,"ns"
"0.00150640"," 0.0007447","0.0023627","4700","0.7289","ns","rate_genes1_median","Intermediate_genes","(Intercept)",0.969889655172414,"ns"
"0.00002758","-0.0005722","0.0006876","4700","0.9166","ns","rate_genes1_median","Intermediate_genes","intermediate_genes",0.994,"ns"
"0.001434","0.00064157","0.002261","4700","0.84043","ns","rate_genes1_median","Avg_gene_freq","(Intercept)",0.991982950819672,"ns"
"0.000604","0.00001329","0.001196","4700","0.04426","*","rate_genes1_median","Avg_gene_freq","avg_gene_freq",0.167722105263158,"ns"
" 0.00033720"," 0.00006975","0.000615495","4700","0.88213","ns","rate_genes1_lower_CI","Pangenome_size","(Intercept)",0.994,"ns"
"-0.00008991","-0.00018041","0.000005508","4337","0.05872",".","rate_genes1_lower_CI","Pangenome_size","pan_genes",0.201325714285714,"ns"
"0.00036874"," 0.00009439","0.0006577","4700","0.7268","ns","rate_genes1_lower_CI","Core_genes","(Intercept)",0.969889655172414,"ns"
"0.00004026","-0.00007311","0.0001624","4700","0.5064","ns","rate_genes1_lower_CI","Core_genes","core_genes",0.828654545454545,"ns"
" 0.00035543"," 0.00007345","0.00062719","4700","0.7813","ns","rate_genes1_lower_CI","Intermediate_genes","(Intercept)",0.969889655172414,"ns"
"-0.00003544","-0.00011861","0.00004578","4700","0.4004","ns","rate_genes1_lower_CI","Intermediate_genes","intermediate_genes",0.72072,"ns"
"0.00032035","0.000038484","0.0005970","4510","0.99064","ns","rate_genes1_lower_CI","Avg_gene_freq","(Intercept)",0.994,"ns"
"0.00007378","0.000002118","0.0001511","4700","0.05404",".","rate_genes1_lower_CI","Avg_gene_freq","avg_gene_freq",0.194544,"ns"
" 0.0129813"," 0.003303","0.022831","4700","0.9528","ns","rate_genes1_upper_CI","Pangenome_size","(Intercept)",0.994,"ns"
"-0.0005886","-0.008859","0.008507","4700","0.8940","ns","rate_genes1_upper_CI","Pangenome_size","pan_genes",0.994,"ns"
" 0.0128433"," 0.002851","0.022121","4700","0.9940","ns","rate_genes1_upper_CI","Core_genes","(Intercept)",0.994,"ns"
"-0.0004479","-0.009314","0.007917","4700","0.9217","ns","rate_genes1_upper_CI","Core_genes","core_genes",0.994,"ns"
"0.013047"," 0.004001","0.02322","4944","0.9489","ns","rate_genes1_upper_CI","Intermediate_genes","(Intercept)",0.994,"ns"
"0.004215","-0.003833","0.01270","4700","0.3268","ns","rate_genes1_upper_CI","Intermediate_genes","intermediate_genes",0.675793234285714,"ns"
" 0.0129184"," 0.002948","0.022201","4700","0.9800","ns","rate_genes1_upper_CI","Avg_gene_freq","(Intercept)",0.994,"ns"
"-0.0009181","-0.009595","0.007218","4237","0.8251","ns","rate_genes1_upper_CI","Avg_gene_freq","avg_gene_freq",0.99012,"ns"
"0.00009526","0.00007943","0.00011010","4496","0.5804255","ns","core_mu_median","Pangenome_size","(Intercept)",0.908492086956522,"ns"
"0.00003210","0.00002241","0.00004173","4497","0.0002128","***","core_mu_median","Pangenome_size","pan_genes",0.0008512,"***"
" 0.00009287"," 0.00007784","0.00010754","4700","0.3817","ns","core_mu_median","Core_genes","(Intercept)",0.704676923076923,"ns"
"-0.00000395","-0.00001370","0.00000625","5762","0.4485","ns","core_mu_median","Core_genes","core_genes",0.768857142857143,"ns"
"0.00009703","0.00008240","0.00011099","5117","0.7310638","ns","core_mu_median","Intermediate_genes","(Intercept)",0.969889655172414,"ns"
"0.00003580","0.00002825","0.00004439","4700","0.0002128","***","core_mu_median","Intermediate_genes","intermediate_genes",0.0008512,"***"
" 0.00010104"," 0.00009001"," 0.00011223","4700","0.8110638","ns","core_mu_median","Avg_gene_freq","(Intercept)",0.989772772881356,"ns"
"-0.00003764","-0.00004491","-0.00003079","4700","0.0002128","***","core_mu_median","Avg_gene_freq","avg_gene_freq",0.0008512,"***"
"0.00003970","0.000031792","0.00004744","4700","0.6582979","ns","core_mu_lower_CI","Pangenome_size","(Intercept)",0.969889655172414,"ns"
"0.00001193","0.000007258","0.00001655","4700","0.0002128","***","core_mu_lower_CI","Pangenome_size","pan_genes",0.0008512,"***"
" 0.000038755"," 0.000031610","0.000045982","4700","0.4689","ns","core_mu_lower_CI","Core_genes","(Intercept)",0.78513488372093,"ns"
"-0.000002974","-0.000007748","0.000001842","4700","0.2243","ns","core_mu_lower_CI","Core_genes","core_genes",0.520954838709677,"ns"
"0.00004074","0.00003350","0.00004814","4700","0.8570213","ns","core_mu_lower_CI","Intermediate_genes","(Intercept)",0.994,"ns"
"0.00001479","0.00001071","0.00001870","4700","0.0002128","***","core_mu_lower_CI","Intermediate_genes","intermediate_genes",0.0008512,"***"
" 0.00004237"," 0.00003589"," 0.00004898","4700","0.7740426","ns","core_mu_lower_CI","Avg_gene_freq","(Intercept)",0.969889655172414,"ns"
"-0.00001536","-0.00001918","-0.00001190","4824","0.0002128","***","core_mu_lower_CI","Avg_gene_freq","avg_gene_freq",0.0008512,"***"
"0.00024942","0.00021276","0.0002812","4700","0.7497872","ns","core_mu_upper_CI","Pangenome_size","(Intercept)",0.969889655172414,"ns"
"0.00008038","0.00005798","0.0001041","4630","0.0002128","***","core_mu_upper_CI","Pangenome_size","pan_genes",0.0008512,"***"
" 0.00024297"," 0.00020399","0.00028182","4700","0.5396","ns","core_mu_upper_CI","Core_genes","(Intercept)",0.86336,"ns"
"-0.00001641","-0.00004543","0.00001139","4700","0.2383","ns","core_mu_upper_CI","Core_genes","core_genes",0.536175,"ns"
"0.0002547","0.00022153","0.0002881","4700","0.9868085","ns","core_mu_upper_CI","Intermediate_genes","(Intercept)",0.994,"ns"
"0.0001048","0.00008359","0.0001265","4700","0.0002128","***","core_mu_upper_CI","Intermediate_genes","intermediate_genes",0.0008512,"***"
" 0.00025957"," 0.0002332"," 0.00028798","4700","0.7595745","ns","core_mu_upper_CI","Avg_gene_freq","(Intercept)",0.969889655172414,"ns"
