name	pan_genes	core_genes	intermediate_genes	rare_genes	avg_gene_freq	dist_file
lactobacillus_acidophilus	1977	1807	62	108	0.9239570854298113	/nfs/research/jlees/anlei/analysis/pp-mod/distances_all/lactobacillus_acidophilus.dists.out
neisseria_polysaccharea	4319	1469	1781	1069	0.4492638042070781	/nfs/research/jlees/anlei/analysis/pp-mod/distances_all/neisseria_polysaccharea.dists.out
yersinia_pestis	7946	3325	1821	2800	0.5111043813911765	/nfs/research/jlees/anlei/analysis/pp-mod/distances_all/yersinia_pestis.dists.out
pseudomonas_e_monteilii	17722	4152	4871	8699	0.3118538490601218	/nfs/research/jlees/anlei/analysis/pp-mod/distances_all/pseudomonas_e_monteilii.dists.out
vibrio_harveyi	15484	4464	2670	8350	0.3372382004841318	/nfs/research/jlees/anlei/analysis/pp-mod/distances_all/vibrio_harveyi.dists.out
protochlamydia_amoebophila	2328	1859	103	366	0.8152405498281787	/nfs/research/jlees/anlei/analysis/pp-mod/distances_all/protochlamydia_amoebophila.dists.out
fusobacterium_c_necrophorum	4006	1612	1266	1128	0.5103448993176901	/nfs/research/jlees/anlei/analysis/pp-mod/distances_all/fusobacterium_c_necrophorum.dists.out
bacillus_a_bombysepticus	13774	4297	4554	4923	0.42610353867018	/nfs/research/jlees/anlei/analysis/pp-mod/distances_all/bacillus_a_bombysepticus.dists.out
stenotrophomonas_maltophilia	13612	3011	4209	6392	0.31203387558044937	/nfs/research/jlees/anlei/analysis/pp-mod/distances_all/stenotrophomonas_maltophilia.dists.out
bacillus_a_cereus	15030	4250	4484	6296	0.3630700503754396	/nfs/research/jlees/anlei/analysis/pp-mod/distances_all/bacillus_a_cereus.dists.out
tatlockia_micdadei	3757	2700	570	487	0.783583063249255	/nfs/research/jlees/anlei/analysis/pp-mod/distances_all/tatlockia_micdadei.dists.out
burkholderia_vietnamiensis	19604	4480	5270	9854	0.30813317981752997	/nfs/research/jlees/anlei/analysis/pp-mod/distances_all/burkholderia_vietnamiensis.dists.out
listeria_innocua	4994	2494	1331	1169	0.5631211935621263	/nfs/research/jlees/anlei/analysis/pp-mod/distances_all/listeria_innocua.dists.out
vibrio_aestuarianus	8759	2813	2433	3513	0.4234233024183529	/nfs/research/jlees/anlei/analysis/pp-mod/distances_all/vibrio_aestuarianus.dists.out
listeria_welshimeri	5225	2364	1440	1421	0.5239528411045439	/nfs/research/jlees/anlei/analysis/pp-mod/distances_all/listeria_welshimeri.dists.out
burkholderia_gladioli	16285	5313	4744	6228	0.4180097305212442	/nfs/research/jlees/anlei/analysis/pp-mod/distances_all/burkholderia_gladioli.dists.out
xanthomonas_phaseoli	10205	3546	2155	4504	0.4171605543155437	/nfs/research/jlees/anlei/analysis/pp-mod/distances_all/xanthomonas_phaseoli.dists.out
neisseria_lactamica	4246	1559	1355	1332	0.4704049641372055	/nfs/research/jlees/anlei/analysis/pp-mod/distances_all/neisseria_lactamica.dists.out
staphylococcus_capitis	3532	2091	690	751	0.6750480223204838	/nfs/research/jlees/anlei/analysis/pp-mod/distances_all/staphylococcus_capitis.dists.out
lactobacillus_gasseri	4917	1414	1230	2273	0.36807729623220875	/nfs/research/jlees/anlei/analysis/pp-mod/distances_all/lactobacillus_gasseri.dists.out
phaeobacter_inhibens	5211	3243	1171	797	0.742821359674373	/nfs/research/jlees/anlei/analysis/pp-mod/distances_all/phaeobacter_inhibens.dists.out
campylobacter_sp002139915	4336	1324	1527	1485	0.38372967063003965	/nfs/research/jlees/anlei/analysis/pp-mod/distances_all/campylobacter_sp002139915.dists.out
mesomycoplasma_hyopneumoniae	2130	1058	686	386	0.6197550520514391	/nfs/research/jlees/anlei/analysis/pp-mod/distances_all/mesomycoplasma_hyopneumoniae.dists.out
haemophilus_seminalis	5255	1486	1300	2469	0.34200328691289683	/nfs/research/jlees/anlei/analysis/pp-mod/distances_all/haemophilus_seminalis.dists.out
bifidobacterium_animalis	1585	1543	18	24	0.9796080959727371	/nfs/research/jlees/anlei/analysis/pp-mod/distances_all/bifidobacterium_animalis.dists.out
klebsiella_quasipneumoniae	13670	4006	3419	6245	0.35993535821435296	/nfs/research/jlees/anlei/analysis/pp-mod/distances_all/klebsiella_quasipneumoniae.dists.out
enterobacter_ludwigii	11730	3874	2794	5062	0.3830406875169643	/nfs/research/jlees/anlei/analysis/pp-mod/distances_all/enterobacter_ludwigii.dists.out
neisseria_flavescens	5195	1591	2072	1532	0.41749851047252395	/nfs/research/jlees/anlei/analysis/pp-mod/distances_all/neisseria_flavescens.dists.out
pseudomonas_e_fulva	10862	3827	1769	5266	0.41872415928759144	/nfs/research/jlees/anlei/analysis/pp-mod/distances_all/pseudomonas_e_fulva.dists.out
campylobacter_d_lari_c	5061	1293	1227	2541	0.3118396736287876	/nfs/research/jlees/anlei/analysis/pp-mod/distances_all/campylobacter_d_lari_c.dists.out
bordetella_holmesii	4884	3335	134	1415	0.6986542327451418	/nfs/research/jlees/anlei/analysis/pp-mod/distances_all/bordetella_holmesii.dists.out
vibrio_alginolyticus	10645	3990	2164	4491	0.4311680945586491	/nfs/research/jlees/anlei/analysis/pp-mod/distances_all/vibrio_alginolyticus.dists.out
colwellia_psychrerythraea_a	5147	4371	46	730	0.8544646224528281	/nfs/research/jlees/anlei/analysis/pp-mod/distances_all/colwellia_psychrerythraea_a.dists.out
bifidobacterium_longum	5581	1362	2298	1921	0.3534901645309842	/nfs/research/jlees/anlei/analysis/pp-mod/distances_all/bifidobacterium_longum.dists.out
staphylococcus_cohnii	7042	1997	1764	3281	0.3568149544292685	/nfs/research/jlees/anlei/analysis/pp-mod/distances_all/staphylococcus_cohnii.dists.out
yersinia_alsatica	12404	3568	4479	4357	0.3677644308287649	/nfs/research/jlees/anlei/analysis/pp-mod/distances_all/yersinia_alsatica.dists.out
campylobacter_d_concheus	4093	1300	979	1814	0.37463117141836905	/nfs/research/jlees/anlei/analysis/pp-mod/distances_all/campylobacter_d_concheus.dists.out
streptococcus_dysgalactiae	4957	1579	1833	1545	0.4129957141369839	/nfs/research/jlees/anlei/analysis/pp-mod/distances_all/streptococcus_dysgalactiae.dists.out
bacteroides_fragilis	12715	3002	4812	4901	0.3324752987356212	/nfs/research/jlees/anlei/analysis/pp-mod/distances_all/bacteroides_fragilis.dists.out
sinorhizobium_meliloti	18795	4760	5345	8690	0.33402953020712506	/nfs/research/jlees/anlei/analysis/pp-mod/distances_all/sinorhizobium_meliloti.dists.out
bacillus_pumilus	6216	3323	594	2299	0.5870066495066495	/nfs/research/jlees/anlei/analysis/pp-mod/distances_all/bacillus_pumilus.dists.out
vibrio_fluvialis	10931	3747	1830	5354	0.38877853992272327	/nfs/research/jlees/anlei/analysis/pp-mod/distances_all/vibrio_fluvialis.dists.out
aeromonas_enteropelogenes	11016	3434	2187	5395	0.3612865316296689	/nfs/research/jlees/anlei/analysis/pp-mod/distances_all/aeromonas_enteropelogenes.dists.out
citrobacter_europaeus	11890	4070	2507	5313	0.3947419244307386	/nfs/research/jlees/anlei/analysis/pp-mod/distances_all/citrobacter_europaeus.dists.out
legionella_longbeachae	6399	3132	1241	2026	0.5507481306666031	/nfs/research/jlees/anlei/analysis/pp-mod/distances_all/legionella_longbeachae.dists.out
clostridium_f_sporogenes	12483	2937	2953	6593	0.301788660426281	/nfs/research/jlees/anlei/analysis/pp-mod/distances_all/clostridium_f_sporogenes.dists.out
akkermansia_sp004167605	3070	2506	292	272	0.852985884907709	/nfs/research/jlees/anlei/analysis/pp-mod/distances_all/akkermansia_sp004167605.dists.out
proteus_mirabilis	8622	2833	2341	3448	0.4088890724120513	/nfs/research/jlees/anlei/analysis/pp-mod/distances_all/proteus_mirabilis.dists.out
aeromonas_dhakensis	8405	3740	1791	2874	0.5007212353921564	/nfs/research/jlees/anlei/analysis/pp-mod/distances_all/aeromonas_dhakensis.dists.out
actinobacillus_lignieresii	3395	1866	807	722	0.6230098875501214	/nfs/research/jlees/anlei/analysis/pp-mod/distances_all/actinobacillus_lignieresii.dists.out
macrococcus_b_caseolyticus	6359	1784	1807	2768	0.35942334230348566	/nfs/research/jlees/anlei/analysis/pp-mod/distances_all/macrococcus_b_caseolyticus.dists.out
streptococcus_suis_p	8224	1468	2979	3777	0.2747212049540958	/nfs/research/jlees/anlei/analysis/pp-mod/distances_all/streptococcus_suis_p.dists.out
escherichia_ruysiae	10674	3396	2868	4410	0.3901583716240956	/nfs/research/jlees/anlei/analysis/pp-mod/distances_all/escherichia_ruysiae.dists.out
streptococcus_gordonii	6232	1647	1561	3024	0.33347519115923424	/nfs/research/jlees/anlei/analysis/pp-mod/distances_all/streptococcus_gordonii.dists.out
staphylococcus_aureus	5106	2123	1472	1511	0.4955008300300405	/nfs/research/jlees/anlei/analysis/pp-mod/distances_all/staphylococcus_aureus.dists.out
neisseria_elongata	5279	1741	1447	2091	0.4554347414283008	/nfs/research/jlees/anlei/analysis/pp-mod/distances_all/neisseria_elongata.dists.out
caulobacter_vibrioides	5221	3564	881	776	0.7219118502033144	/nfs/research/jlees/anlei/analysis/pp-mod/distances_all/caulobacter_vibrioides.dists.out
clostridium_beijerinckii	8304	3737	3397	1170	0.6011035768983746	/nfs/research/jlees/anlei/analysis/pp-mod/distances_all/clostridium_beijerinckii.dists.out
