size_pan	size_core	avg_gene_freq	base_mu 	n_gen	pop_size	ratio_gene_gl	gene_gl_speed	prop_gene
5956	1964934	0.445	0.34,0.16,0.16,0.34	100	100	0.5	0.5	0.25
5956	1964934	0.445	0.34,0.16,0.16,0.34	100	100	0.5	0.5	0.5
5956	1964934	0.445	0.34,0.16,0.16,0.34	100	100	0.5	0.5	0.75
5956	1964934	0.445	0.34,0.16,0.16,0.34	100	100	0.5	0.5	0.95
5956	1964934	0.445	0.34,0.16,0.16,0.34	100	100	0.5	0.5	0.99
5956	1964934	0.445	0.34,0.16,0.16,0.34	100	100	0.5	0.5	0.999
5956	1964934	0.445	0.34,0.16,0.16,0.34	100	100	0.5	1.0	0.25
5956	1964934	0.445	0.34,0.16,0.16,0.34	100	100	0.5	1.0	0.5
5956	1964934	0.445	0.34,0.16,0.16,0.34	100	100	0.5	1.0	0.75
5956	1964934	0.445	0.34,0.16,0.16,0.34	100	100	0.5	1.0	0.95
5956	1964934	0.445	0.34,0.16,0.16,0.34	100	100	0.5	1.0	0.99
5956	1964934	0.445	0.34,0.16,0.16,0.34	100	100	0.5	1.0	0.999
5956	1964934	0.445	0.34,0.16,0.16,0.34	100	100	0.5	10.0	0.25
5956	1964934	0.445	0.34,0.16,0.16,0.34	100	100	0.5	10.0	0.5
5956	1964934	0.445	0.34,0.16,0.16,0.34	100	100	0.5	10.0	0.75
5956	1964934	0.445	0.34,0.16,0.16,0.34	100	100	0.5	10.0	0.95
5956	1964934	0.445	0.34,0.16,0.16,0.34	100	100	0.5	10.0	0.99
5956	1964934	0.445	0.34,0.16,0.16,0.34	100	100	0.5	10.0	0.999
5956	1964934	0.445	0.34,0.16,0.16,0.34	100	100	0.5	100.0	0.25
5956	1964934	0.445	0.34,0.16,0.16,0.34	100	100	0.5	100.0	0.5
5956	1964934	0.445	0.34,0.16,0.16,0.34	100	100	0.5	100.0	0.75
5956	1964934	0.445	0.34,0.16,0.16,0.34	100	100	0.5	100.0	0.95
5956	1964934	0.445	0.34,0.16,0.16,0.34	100	100	0.5	100.0	0.99
5956	1964934	0.445	0.34,0.16,0.16,0.34	100	100	0.5	100.0	0.999
5956	1964934	0.445	0.34,0.16,0.16,0.34	100	100	0.5	500.0	0.25
5956	1964934	0.445	0.34,0.16,0.16,0.34	100	100	0.5	500.0	0.5
5956	1964934	0.445	0.34,0.16,0.16,0.34	100	100	0.5	500.0	0.75
5956	1964934	0.445	0.34,0.16,0.16,0.34	100	100	0.5	500.0	0.95
5956	1964934	0.445	0.34,0.16,0.16,0.34	100	100	0.5	500.0	0.99
5956	1964934	0.445	0.34,0.16,0.16,0.34	100	100	0.5	500.0	0.999
5956	1964934	0.445	0.34,0.16,0.16,0.34	100	100	0.75	0.5	0.25
5956	1964934	0.445	0.34,0.16,0.16,0.34	100	100	0.75	0.5	0.5
5956	1964934	0.445	0.34,0.16,0.16,0.34	100	100	0.75	0.5	0.75
5956	1964934	0.445	0.34,0.16,0.16,0.34	100	100	0.75	0.5	0.95
5956	1964934	0.445	0.34,0.16,0.16,0.34	100	100	0.75	0.5	0.99
5956	1964934	0.445	0.34,0.16,0.16,0.34	100	100	0.75	0.5	0.999
5956	1964934	0.445	0.34,0.16,0.16,0.34	100	100	0.75	1.0	0.25
5956	1964934	0.445	0.34,0.16,0.16,0.34	100	100	0.75	1.0	0.5
5956	1964934	0.445	0.34,0.16,0.16,0.34	100	100	0.75	1.0	0.75
5956	1964934	0.445	0.34,0.16,0.16,0.34	100	100	0.75	1.0	0.95
5956	1964934	0.445	0.34,0.16,0.16,0.34	100	100	0.75	1.0	0.99
5956	1964934	0.445	0.34,0.16,0.16,0.34	100	100	0.75	1.0	0.999
5956	1964934	0.445	0.34,0.16,0.16,0.34	100	100	0.75	10.0	0.25
5956	1964934	0.445	0.34,0.16,0.16,0.34	100	100	0.75	10.0	0.5
5956	1964934	0.445	0.34,0.16,0.16,0.34	100	100	0.75	10.0	0.75
5956	1964934	0.445	0.34,0.16,0.16,0.34	100	100	0.75	10.0	0.95
5956	1964934	0.445	0.34,0.16,0.16,0.34	100	100	0.75	10.0	0.99
5956	1964934	0.445	0.34,0.16,0.16,0.34	100	100	0.75	10.0	0.999
5956	1964934	0.445	0.34,0.16,0.16,0.34	100	100	0.75	100.0	0.25
5956	1964934	0.445	0.34,0.16,0.16,0.34	100	100	0.75	100.0	0.5
5956	1964934	0.445	0.34,0.16,0.16,0.34	100	100	0.75	100.0	0.75
5956	1964934	0.445	0.34,0.16,0.16,0.34	100	100	0.75	100.0	0.95
5956	1964934	0.445	0.34,0.16,0.16,0.34	100	100	0.75	100.0	0.99
5956	1964934	0.445	0.34,0.16,0.16,0.34	100	100	0.75	100.0	0.999
5956	1964934	0.445	0.34,0.16,0.16,0.34	100	100	0.75	500.0	0.25
5956	1964934	0.445	0.34,0.16,0.16,0.34	100	100	0.75	500.0	0.5
5956	1964934	0.445	0.34,0.16,0.16,0.34	100	100	0.75	500.0	0.75
5956	1964934	0.445	0.34,0.16,0.16,0.34	100	100	0.75	500.0	0.95
5956	1964934	0.445	0.34,0.16,0.16,0.34	100	100	0.75	500.0	0.99
5956	1964934	0.445	0.34,0.16,0.16,0.34	100	100	0.75	500.0	0.999
5956	1964934	0.445	0.34,0.16,0.16,0.34	100	100	0.99	0.5	0.25
5956	1964934	0.445	0.34,0.16,0.16,0.34	100	100	0.99	0.5	0.5
5956	1964934	0.445	0.34,0.16,0.16,0.34	100	100	0.99	0.5	0.75
5956	1964934	0.445	0.34,0.16,0.16,0.34	100	100	0.99	0.5	0.95
5956	1964934	0.445	0.34,0.16,0.16,0.34	100	100	0.99	0.5	0.99
5956	1964934	0.445	0.34,0.16,0.16,0.34	100	100	0.99	0.5	0.999
5956	1964934	0.445	0.34,0.16,0.16,0.34	100	100	0.99	1.0	0.25
5956	1964934	0.445	0.34,0.16,0.16,0.34	100	100	0.99	1.0	0.5
5956	1964934	0.445	0.34,0.16,0.16,0.34	100	100	0.99	1.0	0.75
5956	1964934	0.445	0.34,0.16,0.16,0.34	100	100	0.99	1.0	0.95
5956	1964934	0.445	0.34,0.16,0.16,0.34	100	100	0.99	1.0	0.99
